Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,SalePrice,0,1,2,3,4,9,11,15,18,19,20,22,24,25,28,32,33,43,44,53,57,60,71,73,78,85,95
27,20,60.0,7200,5,7,1951,2000,0.0,234,180,900,900,0,900,0,1,0,3,1,5,0,2,576,222,32,0,0,0,134800,-1.2629095860877682,0.005981407990683154,0.12073935721507677,0.4862115760704332,-0.6956398340267071,1.057998066662448,-1.0681541181989243,-0.4859980089384977,-0.5340964352463765,-0.20514164641706487,-0.7649726777528518,-0.15825683987759265,-0.21609187347132033,0.3553809488102942,-1.112925649355482,-0.4531683413323625,0.0022280552354888897,-0.13232771725128628,-0.14005293692522405,0.03439811773888715,-0.0851202331550736,0.09067010162393795,0.006519574282568286,-0.13124525238340856,0.07810930776006289,0.018566549072985765,-0.03521210595043196
28,20,98.0,11478,8,5,2007,2008,200.0,1218,486,1704,1704,0,1704,1,2,0,3,1,7,1,3,772,0,50,0,0,0,306000,2.0505197699747915,0.06282311654550086,0.9804611196064881,-0.5487131256482345,-0.6373840402219156,-0.07023562862267295,0.09301306154030665,-0.27861261260580045,-0.37549483987529103,-0.4805913045626725,0.5586054868294803,-0.461038631433617,0.31758402580537176,0.34243491762374806,0.5559962883541059,-0.04646095886877279,-0.20741192063634206,-0.12898399810045844,0.20096145717895114,-0.08666789103176474,0.012001230808294794,-0.12471885895932916,-0.03895495220210584,-0.04281849251269899,0.04385781362776915,-0.04260239921987696,0.0910862267008158
29,20,47.0,16321,5,6,1957,1997,0.0,1277,207,1484,1600,0,1600,1,1,0,2,1,6,2,1,319,288,258,0,0,0,207500,-1.2446993239135116,-1.4719509486334843,0.15991399545240628,0.8774638030210564,-0.5259199986700367,-0.3603359695643508,0.6546796084392781,-0.6307616364508256,-0.8901616593996804,-0.2714232607631489,0.18381751168772986,0.10540683064485426,-0.19014382427555301,0.09359536614728109,-0.3271521094232354,-0.5454249540147793,-0.1924834704782438,0.4516228712061014,0.2847376652711582,-0.2154763905826136,-0.09252332189525328,0.05134624384452378,0.0611519212890037,0.13703186018508015,-0.047681619695890194,0.11855012419603492,-0.022398293835872003
30,30,60.0,6324,4,6,1927,1950,0.0,0,520,520,520,0,520,0,1,0,1,1,4,0,1,240,49,0,87,0,0,68500,-1.5506289072880861,1.7629715037982339,0.010189530747031368,0.9446224384746285,0.15867105727105657,0.34114677073781474,1.5420701068573701,0.27477854956535497,-0.15663094632196556,-0.11232204278547125,0.14917173647742904,0.0458038285290491,1.0828534881639402,0.3997690776724037,-0.3457461484530472,-0.14605439820533805,-0.33050071062137026,0.46942614651854175,0.49986343063210653,-0.19530200443513568,-0.04362354156561132,0.1600035862846643,0.1713220131571659,-0.07016071706727005,0.26337123875016477,0.25676785258237683,-0.03832781281650104
31,70,50.0,8500,4,4,1920,1950,0.0,0,649,649,649,668,1317,0,1,0,3,1,6,0,1,250,0,54,172,0,0,40000,-1.9713630451036035,1.9558744494985156,-0.1277129326617971,0.21149572692684626,0.6408267424795968,0.19701355257606737,0.3406471370761085,0.3630187216634527,0.05065553861910504,-0.5211030620877961,0.792824969941509,0.10236616664958223,0.5310661166530518,-0.11705759536662287,-0.3383825190544536,-0.3713220272538348,0.5475903804563812,0.20355157732924756,-0.5401456612266865,0.03234811153818124,0.42775867679834556,0.2831810864383677,0.06323404829665823,-0.3188299929769587,-0.1979222063990961,0.02664160995829197,0.3621432585464243
32,20,0.0,8544,5,6,1966,2006,0.0,0,1228,1228,1228,0,1228,0,1,1,3,1,6,0,1,271,0,65,0,0,0,149350,-1.04420685075589,-0.9033716612064443,-0.698205162093065,0.8974039048043049,-0.3876858307684346,0.6562097504217971,-0.3222987015566286,0.6075768446227088,-0.2695646421694833,0.05574046539587131,-0.2493049109121306,0.11693031377276122,0.42738113305948644,0.0861797149377611,-0.08939711054138454,0.22285792353526018,0.21399152328463572,0.7581685642251293,0.03331168791393038,0.11409183232716807,0.10157773722521116,-0.03564055876513534,-0.10397390977756711,0.007496787126808794,-0.015166711183015888,0.056869463174501526,0.026778347290078674
33,20,85.0,11049,8,5,2007,2007,0.0,0,1234,1234,1234,0,1234,0,2,0,3,1,7,0,2,484,0,30,0,0,0,179900,1.81173605136074,0.3440254690057077,0.27548358293987335,0.16304728006732075,-1.2790643840836304,0.9646112693046056,-0.423133487107407,-0.47305759788913304,-0.47367124840175556,0.4405517716346838,0.020915083811777917,0.13287095623741058,0.17192288193492827,0.8018620922394256,0.25208214287333236,0.03499435103431551,0.06180924306708841,0.2511577787367282,0.009784516176060014,0.01717740068459151,-0.1751289560512474,-0.16961178140890415,-0.026174861691059696,-0.10606269600443892,0.0892918304321087,-0.0849527013523394,-0.14282754815607737
34,20,70.0,10552,5,5,1959,1959,0.0,1018,380,1398,1700,0,1700,0,1,1,4,1,6,1,2,447,0,38,0,0,0,165500,-0.7155560917209918,-1.3237830812988427,0.5788433755604897,0.6255503689621247,-0.45523716695715444,-0.6348466593293459,0.19234364427592904,0.4133159441911192,-0.5566440403712922,-0.5770203614575958,-0.6420691885034551,-0.3748234045764955,0.08646536945763413,-0.2229055512732222,-0.3568216902726624,0.11969014446488063,-0.26818308129140594,0.1755009846060345,0.05633734111210262,0.025391356785830068,0.12491783875638335,0.4461456098823897,-0.012528515317379899,-0.017342417814438117,-0.04867956363848152,-0.1508911547981178,0.0021352186349214153
35,120,60.0,7313,9,5,2005,2005,246.0,1153,408,1561,1561,0,1561,1,2,0,2,1,6,1,2,556,203,47,0,0,0,277500,1.210394923393915,-0.3377006553605686,1.8855253809391674,-0.6201695059381365,1.5610133062685054,-0.39961778159261835,0.17100035630062072,-0.4719129279265013,-0.4570784520540196,-0.051716157330688746,0.5373442651538645,-0.00524219408114198,0.23989229095947942,0.3855707495067574,-0.007281082283848417,0.6611710788467667,-0.1542785855317929,0.4523922966873589,-0.24113841413491036,0.24255759873617155,0.03498698273487232,-0.05272295961094639,0.02036276260222621,0.0164969936997983,-0.17544337049551462,0.08905430817147776,0.01711160497537387
36,60,108.0,13418,8,5,2004,2005,132.0,0,1117,1117,1132,1320,2452,0,3,1,4,1,9,1,3,691,113,32,0,0,0,309000,2.0549854887663996,0.8798118345601,0.5721039724726835,0.023510485348182064,0.5057723757235721,-0.749258978909191,-0.4814357112798025,0.03256159411884237,-1.101026267468142,0.7914605088674841,0.22710240615611907,-0.007645954960217616,0.319686102753944,0.5060597883698895,0.1356281766637091,-0.2069155614139039,-0.1267895164569043,-0.011254610621822984,0.43629364710130375,0.16899105833868067,0.14371949083042446,-0.23662567720550673,-0.09445723825419051,-0.09881360269939833,0.030802811351550947,0.1375359333076706,0.06340541531739824
37,20,112.0,10859,5,5,1994,1995,0.0,0,1097,1097,1097,0,1097,0,1,1,3,1,6,0,2,672,392,64,0,0,0,145000,0.5833045416026055,0.5953471096158324,-0.20197630354442098,-0.01287424501289857,-1.1836377049010076,0.8228490843692621,-0.46199001712094134,-0.7810439917552274,-0.09642697040578146,0.27213196910321746,0.3948894158848583,-0.003041394637804235,-0.30268998896575616,-0.021289516058408543,0.11663566078230973,0.13877821115039818,0.003599504853373857,-0.23014356028194688,0.001323517039334535,0.14677824541118042,-0.03616082515699589,-0.03262064604276402,-0.030295237190750564,-0.06300629053826567,-0.0047800099949763765,0.053718823788053406,-0.06147731013070156
38,20,74.0,8532,5,6,1954,1990,650.0,1213,84,1297,1297,0,1297,0,1,0,3,1,5,1,2,498,0,0,0,0,0,153000,-1.253400912216827,-1.3918568517349095,0.8295547957586615,-0.49493848268091833,0.5963231380070323,-0.502596734761536,-0.06934709405578478,-0.06878195105617269,0.14763917797510184,-0.13465531778014536,-1.1474771960428267,0.1644456545467068,-0.30568308952448675,-0.24239531834957226,-0.1179020589618994,-0.2766193706219581,0.0225345698037931,0.25180812041070594,0.009095658572652064,0.04873474208937513,-0.1215573039659841,-0.049342129299548385,0.045052170989684094,-0.11311867923385578,-0.036952420396689466,0.057123274188806625,0.011351734968136427
39,20,68.0,7922,5,7,1953,2007,0.0,731,326,1057,1057,0,1057,1,1,0,3,1,5,0,1,246,0,52,0,0,0,109000,-1.005337079370512,0.0788153336219941,0.47925359313164656,-0.42986846022359143,-1.080579662704574,0.12297954541513322,-0.11209406816910045,0.9572216625341584,0.3084051477519755,-1.0055022562944447,0.1033055237992174,-0.38447833106046814,-0.52771416916908,-0.1329243289144065,-0.48161910510425204,-0.27689099341860257,-0.815676955311692,0.3356289369319702,-0.1797965847369256,-0.05810008988733714,-0.07480339558289241,-0.20652659713359509,0.12567352125588221,0.04374398076051998,0.021645505982317598,-0.039843181082070266,0.05361729472945564
40,90,65.0,6040,4,5,1955,1955,0.0,0,0,0,1152,0,1152,0,2,0,2,2,6,0,0,0,0,0,0,0,0,82000,-0.7982310476263045,0.752511816672698,0.6081652416573263,0.10515127690922119,-0.6075325245519982,0.4484629633988376,0.6488193040035637,0.388984202240398,-0.6870925534927956,-0.15388211142639488,0.19840134956098623,0.619160749293229,0.17997729602354096,0.9603825644182108,-0.6174972990502852,0.2749461285882139,0.2920511649897669,-0.25504912952330505,0.07221060837731895,-0.17317025033043487,-0.14353785522733023,-0.12441098554124569,-0.3374974720083968,-0.04809861436554342,0.08403077721373656,0.007879517876630255,-0.12592316002306694
41,20,84.0,8658,6,5,1965,1965,101.0,643,445,1088,1324,0,1324,0,2,0,3,1,6,1,2,440,0,138,0,0,0,160000,-1.0190973353235888,-1.1810667701448478,0.5790267357885458,-0.7869794889780433,-0.26069864192038156,-0.1547209864986792,0.3588650334042334,-0.7669566774429359,0.9804163541687135,0.41770064451873096,-0.7321711517552805,0.09250290802884102,-0.5156102927726693,-0.12040717010099768,-0.06176036264005677,-0.3612959647115851,-0.42840435288858286,0.30938142446346906,0.31849129246020114,0.009253024895566314,-0.10118986507022479,-0.30493725860487186,0.012345071306187245,0.043700635010333916,0.18361237012552528,0.050308519247852845,0.04447997265145577
